V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
0.0,0.021739130434782608,0.015037593984962405,0.04310344827586207,0.04878048780487805,0.06896551724137931,0.10256410256410256,0.10218978102189781,0.072,0.10638297872340426,0.03424657534246575,0.06802721088435375,0.04316546762589928
0.0,0.016260162601626018,0.017241379310344827,0.025210084033613446,0.04310344827586207,0.0625,0.16,0.09923664122137404,0.128,0.112,0.06923076923076923,0.0234375,0.01652892561983471
0.019230769230769232,0.0,0.03333333333333333,0.0,0.13432835820895522,0.08928571428571429,0.08333333333333333,0.08928571428571429,0.05084745762711865,0.03636363636363636,0.07462686567164178,0.05555555555555555,0.01818181818181818
0.0,0.027777777777777776,0.04477611940298507,0.016129032258064516,0.017543859649122806,0.08333333333333333,0.0967741935483871,0.16129032258064516,0.125,0.13559322033898305,0.046875,0.03571428571428571,0.046875
0.010416666666666666,0.01098901098901099,0.04,0.020833333333333332,0.06779661016949153,0.10752688172043011,0.15053763440860216,0.07865168539325842,0.0547945205479452,0.11,0.06976744186046512,0.02857142857142857,0.01282051282051282
0.015384615384615385,0.0,0.021739130434782608,0.03875968992248062,0.03007518796992481,0.07407407407407407,0.10483870967741936,0.09230769230769231,0.11486486486486487,0.07339449541284404,0.10569105691056911,0.05426356589147287,0.04411764705882353
0.0,0.02830188679245283,0.010526315789473684,0.047619047619047616,0.04878048780487805,0.06060606060606061,0.0673076923076923,0.08791208791208792,0.10679611650485436,0.1188118811881188,0.06060606060606061,0.03,0.05357142857142857
0.0,0.0,0.0,0.06349206349206349,0.07575757575757576,0.09375,0.0684931506849315,0.12698412698412698,0.057692307692307696,0.045454545454545456,0.08333333333333333,0.017857142857142856,0.017857142857142856
0.020618556701030927,0.027777777777777776,0.039473684210526314,0.02127659574468085,0.04411764705882353,0.0975609756097561,0.11458333333333333,0.07142857142857142,0.08,0.0641025641025641,0.03896103896103896,0.012195121951219513,0.02564102564102564
0.0,0.007407407407407408,0.0,0.016,0.02054794520547945,0.058823529411764705,0.07272727272727272,0.15384615384615385,0.12698412698412698,0.08333333333333333,0.038461538461538464,0.03418803418803419,0.0
0.0,0.0,0.04,0.0,0.0,0.11764705882352941,0.045454545454545456,0.2962962962962963,0.08,0.047619047619047616,0.11764705882352941,0.15384615384615385,0.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
